test,time
Wronglock1Bad,0.3728599548
Wronglock1Bad,0.4325506687
Wronglock1Bad,0.3704855442
Wronglock1Bad,0.3835906982
Wronglock1Bad,0.3795025349
Wronglock1Bad,0.3816578388
Wronglock1Bad,0.3808660507
Wronglock1Bad,0.414866209
Wronglock1Bad,0.4124662876
Wronglock1Bad,0.3752653599
Wronglock1Bad,0.3973715305
Wronglock1Bad,0.3794653416
Wronglock1Bad,0.4055316448
Wronglock1Bad,0.4034676552
Wronglock1Bad,0.3740799427
Wronglock1Bad,0.3778882027
Wronglock1Bad,0.3747038841
Wronglock1Bad,0.375484705
Wronglock1Bad,0.3756334782
Wronglock1Bad,0.4015741348
Wronglock1Bad,0.3739671707
Wronglock1Bad,0.3714075089
Wronglock1Bad,0.3789465427
Wronglock1Bad,0.3746809959
Wronglock1Bad,0.3773458004
Wronglock1Bad,0.3858354092
Wronglock1Bad,0.4269583225
Wronglock1Bad,0.3779709339
Wronglock1Bad,0.3882548809
Wronglock1Bad,0.4244282246
Wronglock1Bad,0.3795661926
Wronglock1Bad,0.3842520714
Wronglock1Bad,0.3739626408
Wronglock1Bad,0.3668682575
Wronglock1Bad,0.3816919327
Wronglock1Bad,0.3821895123
Wronglock1Bad,0.380751133
Wronglock1Bad,0.3945558071
Wronglock1Bad,0.3755304813
Wronglock1Bad,0.4446415901
Wronglock1Bad,0.5654835701
Wronglock1Bad,0.4412050247
Wronglock1Bad,0.4231734276
Wronglock1Bad,0.3945174217
Wronglock1Bad,0.3944642544
Wronglock1Bad,0.4267194271
Wronglock1Bad,0.39772439
Wronglock1Bad,0.4081983566
Wronglock1Bad,0.3999209404
Wronglock1Bad,0.4142374992
Wronglock1Bad,0.4098296165
Wronglock1Bad,0.4083881378
Wronglock1Bad,0.4105129242
Wronglock1Bad,0.3603646755
Wronglock1Bad,0.3825736046
Wronglock1Bad,0.3893275261
Wronglock1Bad,0.3833482265
Wronglock1Bad,0.3817207813
Wronglock1Bad,0.3896257877
Wronglock1Bad,0.4123747349
Wronglock1Bad,0.4153506756
Wronglock1Bad,0.4210209846
Wronglock1Bad,0.4311623573
Wronglock1Bad,0.504137516
Wronglock1Bad,0.4613294601
Wronglock1Bad,0.4422199726
Wronglock1Bad,0.3900985718
Wronglock1Bad,0.3944985867
Wronglock1Bad,0.4129166603
Wronglock1Bad,0.4051940441
Wronglock1Bad,0.4154140949
Wronglock1Bad,0.3928582668
Wronglock1Bad,0.4017329216
Wronglock1Bad,0.4086134434
Wronglock1Bad,0.4048411846
Wronglock1Bad,0.4325973988
Wronglock1Bad,0.4219551086
Wronglock1Bad,0.3987092972
Wronglock1Bad,0.4176704884
Wronglock1Bad,0.4202187061
Wronglock1Bad,0.4109885693
Wronglock1Bad,0.3843078613
Wronglock1Bad,0.4037549496
Wronglock1Bad,0.4182682037
Wronglock1Bad,0.4010586739
Wronglock1Bad,0.4023795128
Wronglock1Bad,0.40416646
Wronglock1Bad,0.3886692524
Wronglock1Bad,0.3928544521
Wronglock1Bad,0.3790094852
Wronglock1Bad,0.3755061626
Wronglock1Bad,0.379342556
Wronglock1Bad,0.3966965675
Wronglock1Bad,0.363900423
Wronglock1Bad,0.382652998
Wronglock1Bad,0.3681132793
Wronglock1Bad,0.3988990784
Wronglock1Bad,0.3828444481
Wronglock1Bad,0.3769984245
Wronglock1Bad,0.390681982
Wronglock1Bad,0.4063453674
